regret: 36	maxRegret: 336.16	weights: (0.117, 0.105, 0.124, 0.104, 0.104, 0.091, 0.090, 0.091, 0.084, 0.091)
regret: 36	maxRegret: 336.16	weights: (0.117, 0.105, 0.124, 0.104, 0.104, 0.091, 0.090, 0.091, 0.084, 0.091)
regret: 37	maxRegret: 336.28	weights: (0.117, 0.105, 0.124, 0.104, 0.104, 0.091, 0.090, 0.091, 0.084, 0.091)
regret: 38	maxRegret: 336.40	weights: (0.117, 0.105, 0.124, 0.104, 0.104, 0.091, 0.090, 0.091, 0.084, 0.091)
regret: 39	maxRegret: 336.52	weights: (0.117, 0.105, 0.124, 0.104, 0.104, 0.091, 0.090, 0.091, 0.084, 0.091)
regret: 39	maxRegret: 336.52	weights: (0.117, 0.105, 0.124, 0.104, 0.104, 0.091, 0.090, 0.091, 0.084, 0.091)
regret: 40	maxRegret: 336.64	weights: (0.117, 0.105, 0.124, 0.104, 0.104, 0.091, 0.090, 0.091, 0.084, 0.091)
regret: 40	maxRegret: 336.64	weights: (0.117, 0.105, 0.124, 0.104, 0.104, 0.091, 0.090, 0.091, 0.084, 0.091)
regret: 40	maxRegret: 336.64	weights: (0.117, 0.105, 0.124, 0.104, 0.104, 0.091, 0.090, 0.091, 0.084, 0.091)
regret: 41	maxRegret: 336.76	weights: (0.117, 0.105, 0.124, 0.104, 0.104, 0.091, 0.090, 0.091, 0.084, 0.091)
regret: 41	maxRegret: 336.76	weights: (0.117, 0.105, 0.124, 0.104, 0.104, 0.091, 0.090, 0.091, 0.084, 0.091)
regret: 41	maxRegret: 336.76	weights: (0.117, 0.105, 0.124, 0.104, 0.104, 0.091, 0.090, 0.091, 0.084, 0.091)
regret: 41	maxRegret: 336.76	weights: (0.117, 0.105, 0.124, 0.104, 0.104, 0.091, 0.090, 0.091, 0.084, 0.091)
regret: 40	maxRegret: 336.76	weights: (0.116, 0.104, 0.130, 0.103, 0.103, 0.090, 0.090, 0.090, 0.083, 0.090)
regret: 40	maxRegret: 336.76	weights: (0.116, 0.104, 0.130, 0.103, 0.103, 0.090, 0.090, 0.090, 0.083, 0.090)
